punkt_id;kartleggingsenhet
ID0055_46;T22-C-3
ID0055_44;V4-C-2
ID0055_42;T7-C-3
ID0055_55;T14-C-1
ID0055_53;T14-C-1
ID0055_51;T22-C-3
ID0055_66;T3-C-8
ID0055_62;V1-C-7
ID0055_64;T22-C-3
ID0057_46;T4-C-1
ID0057_44;T4-C-5
ID0057_35;T4-C-5
ID0057_24;T4-C-5
ID0057_26;T4-C-5
ID0057_15;T4-C-1
ID0057_13;T4-C-5
ID0057_13;T4-C-1
ID0057_22;T4-C-1
ID0057_35;T4-C-1
ID0057_33;T4-C-1
ID0057_42;T4-C-1
ID0057_51;V1-C-1
ID0057_62;T4-C-1
ID0057_53;V2-C-1
ID0057_64;T4-C-1
ID0057_55;T4-C-1
ID0057_66;T4-C-1
ID0058_64;ikke_kartlagt
ID0058_42;T3-C-5
ID0058_22;T4-C-2
ID0058_15;T3-C-4
ID0058_24;T3-C-1
ID0058_33;T3-C-2
ID0058_35;T3-C-2
ID0058_44;T3-C-2
ID0058_55;ikke_kartlagt
ID0058_13;T4-C-7
ID0058_53;T3-C-3
ID0058_62;T3-C-3
ID0058_11;T3-C-7
ID0058_26;T3-C-5
ID0058_31;T3-C-5
ID0058_46;T3-C-11
ID0058_51;T3-C-2
ID0058_66;T3-C-2
ID0065_11;T3-C-3
ID0065_15;V1-C-2
ID0065_13;V1-C-2
ID0065_26;V1-C-1
ID0065_24;T3-C-3
ID0065_22;T3-C-3
ID0065_31;T3-C-13
ID0065_33;T3-C-3
ID0065_35;V1-C-2
ID0065_46;T3-C-2
ID0065_44;T3-C-3
ID0065_42;T3-C-2
ID0065_51;T3-C-2
ID0065_53;T3-C-3
ID0065_55;T22-C-1
ID0065_66;T3-C-3
ID0065_64;T3-C-2
ID0065_62;V1-C-5
ID0066_51;V1-C-1
ID0066_62;T4-C-5
ID0066_53;T4-C-1
ID0066_64;T4-C-1
ID0066_66;V2-C-1
ID0066_55;T4-C-1
ID0066_44;T4-C-1
ID0066_35;T2-C-1
ID0066_26;T2-C-1
ID0066_15;T4-C-1
ID0066_24;T4-C-1
ID0066_33;T4-C-1
ID0066_42;T35-C-2
ID0066_31;T4-C-1
ID0066_22;V1-C-1
ID0066_11;T4-C-1
ID0066_13;T4-C-5
ID0066_46;V
ID0070_22;T4-C-4
ID0070_24;T34-C-2
ID0070_35;T4-C-2
ID0070_26;T4-C-2
ID0070_15;T34-C-2
ID0070_13;T34-C-2
ID0070_11;ikke_kartlagt
ID0070_62;T34-C-2
ID0070_42;T34-C-2
ID0070_53;T34-C-2
ID0070_64;T34-C-2
ID0070_33;T34-C-4
ID0070_55;T34-C-2
ID0070_46;T34-C-2
ID0070_44;T34-C-2
ID0070_31;T34-C-2
ID0070_51;T34-C-2
ID0070_66;T34-C-2
ID0074_11;T3-C-3
ID0074_62;T22-C-1
ID0074_51;T3-C-3
ID0074_31;T3-C-3
ID0074_22;T3-C-3
ID0074_13;ikke_kartlagt
ID0074_24;T3-C-3
ID0074_35;T3-C-3
ID0074_46;T3-C-3
ID0074_26;T3-C-3
ID0074_15;T3-C-2
ID0074_66;ikke_kartlagt
ID0074_64;ikke_kartlagt
ID0074_53;ikke_kartlagt
ID0074_55;ikke_kartlagt
ID0074_44;ikke_kartlagt
ID0074_42;ikke_kartlagt
ID0074_33;ikke_kartlagt
ID0075_55;T4-C-5
ID0075_66;T4-C-1
ID0075_46;T4-C-1
ID0075_35;V1-C-6
ID0075_26;T4-C-1
ID0075_15;T4-C-1
ID0075_13;T4-C-2
ID0075_62;T4-C-3
ID0075_51;T4-C-17
ID0075_42;T4-C-1
ID0075_31;T4-C-1
ID0075_22;T4-C-3
ID0075_11;V9-C-3
ID0075_24;T32-C-3
ID0075_33;T4-C-1
ID0075_44;V1-C-6
ID0075_53;V1-C-6
ID0075_64;T31-C-2
ID0076_24;T13-C-1
ID0076_15;T3-C-5
ID0076_13;T3-C-5
ID0076_64;T14-C-1
ID0076_66;T3-C-2
ID0076_55;T3-C-5
ID0076_46;T3-C-5
ID0076_35;T3-C-5
ID0076_62;T3-C-2
ID0076_26;T31-C-5
ID0076_53;ikke_kartlagt
ID0076_22;T3-C-2
ID0076_33;T3-C-2
ID0076_44;T3-C-2
ID0076_42;T3-C-2
ID0076_31;T3-C-1
ID0076_51;T7-C-2
ID0076_11;T3-C-5
ID0080_31;T4-C-2
ID0080_11;ikke_kartlagt
ID0080_13;ikke_kartlagt
ID0080_33;ikke_kartlagt
ID0080_24;ikke_kartlagt
ID0080_15;ikke_kartlagt
ID0080_26;ikke_kartlagt
ID0080_35;ikke_kartlagt
ID0080_46;ikke_kartlagt
ID0080_44;ikke_kartlagt
ID0080_55;ikke_kartlagt
ID0080_66;ikke_kartlagt
ID0080_22;ikke_kartlagt
ID0080_51;T34-C-2
ID0080_64;T4-C-2
ID0080_62;T4-C-1
ID0080_53;T4-C-1
ID0080_42;ikke_kartlagt
ID0081_31;T3-C-8
ID0081_51;V1-C-3
ID0081_44;V1-C-3
ID0081_42;V1-C-3
ID0081_33;T3-C-2
ID0081_35;T3-C-2
ID0081_62;T3-C-2
ID0081_53;V1-C-6
ID0081_64;T3-C-2
ID0081_55;V1-C-6
ID0081_66;T3-C-2
ID0081_11;T3-C-2
ID0081_13;V4-C-2
ID0081_24;T3-C-2
ID0081_22;T3-C-2
ID0081_15;V1-C-3
ID0081_26;V1-C-6
ID0081_46;ikke_kartlagt
ID0083_13;T4-C-1
ID0083_31;T2-C-1
ID0083_44;T4-C-9
ID0083_24;V1-C-1
ID0083_26;T4-C-5
ID0083_46;T4-C-5
ID0083_55;T4-C-5
ID0083_53;T4-C-1
ID0083_51;T4-C-5
ID0083_22;T4-C-5
ID0083_42;T4-C-1
ID0083_33;T4-C-1
ID0083_15;T4-C-1
ID0083_35;T4-C-5
ID0083_66;T4-C-1
ID0083_64;T4-C-5
ID0083_62;T4-C-9
ID0083_11;ikke_kartlagt
ID0084_46;T4-C-1
ID0084_55;T4-C-1
ID0084_66;T4-C-1
ID0084_64;T2-C-1
ID0084_51;T2-C-1
ID0084_62;T4-C-1
